tempbeta	mu	density	err	doublon	err	
4.7170e+00	-3.0210e+00	3.1540e-06	1.8701e-08	4.6052e-13	1.1323e-16	
4.7170e+00	-2.9808e+00	3.8125e-06	2.2605e-08	6.7290e-13	1.6452e-16	
4.7170e+00	-2.9406e+00	4.6085e-06	2.7337e-08	9.8323e-13	2.4211e-16	
4.7170e+00	-2.9004e+00	5.5712e-06	3.3676e-08	1.4367e-12	3.5386e-16	
4.7170e+00	-2.8602e+00	8.0208e-05	1.7973e-06	1.4550e-10	1.5691e-12	
4.7170e+00	-2.8200e+00	8.1397e-06	4.8373e-08	3.0674e-12	7.4667e-16	
4.7170e+00	-2.7798e+00	1.2030e-04	2.0068e-06	3.1532e-10	4.4038e-12	
4.7170e+00	-2.7396e+00	1.3947e-04	4.9452e-06	4.4819e-10	8.0126e-12	
4.7170e+00	-2.6994e+00	1.4371e-05	8.1760e-08	9.5687e-12	2.1730e-15	
4.7170e+00	-2.6592e+00	1.7372e-05	9.8285e-08	1.3982e-11	3.1687e-15	
4.7170e+00	-2.6190e+00	2.1009e-05	1.0605e-07	2.0430e-11	4.0839e-15	
4.7170e+00	-2.5788e+00	2.5380e-05	1.2955e-07	2.9851e-11	6.1249e-15	
4.7170e+00	-2.5386e+00	3.0703e-05	1.5046e-07	4.3619e-11	8.4809e-15	
4.7170e+00	-2.4984e+00	3.7103e-05	1.8220e-07	6.3734e-11	1.1772e-14	
4.7170e+00	-2.4582e+00	4.4864e-05	2.2749e-07	9.3127e-11	1.7367e-14	
4.7170e+00	-2.4180e+00	5.4243e-05	2.8703e-07	1.3607e-10	2.9324e-14	
4.7170e+00	-2.3778e+00	6.5573e-05	3.1554e-07	1.9883e-10	3.9900e-14	
4.7170e+00	-2.3376e+00	7.9283e-05	3.6835e-07	2.9053e-10	5.2655e-14	
4.7170e+00	-2.2974e+00	9.5763e-05	4.2843e-07	4.2450e-10	8.2300e-14	
4.7170e+00	-2.2572e+00	1.1582e-04	5.0266e-07	6.2027e-10	1.1918e-13	
4.7170e+00	-2.2170e+00	1.4009e-04	4.8541e-07	9.0633e-10	1.7486e-13	
4.7170e+00	-2.1768e+00	1.6927e-04	5.9213e-07	1.3243e-09	2.8843e-13	
4.7170e+00	-2.1366e+00	2.0440e-04	7.4631e-07	1.9348e-09	3.8667e-13	
4.7170e+00	-2.0964e+00	2.4639e-04	9.6034e-07	2.8268e-09	5.3640e-13	
4.7170e+00	-2.0562e+00	2.9842e-04	9.0360e-07	4.1306e-09	7.1079e-13	
4.7170e+00	-2.0160e+00	3.6062e-04	1.0309e-06	6.0353e-09	1.3382e-12	
4.7170e+00	-1.9758e+00	4.3584e-04	8.7975e-07	8.8174e-09	1.7661e-12	
4.7170e+00	-1.9356e+00	5.2582e-04	6.0397e-07	1.2882e-08	2.4351e-12	
4.7170e+00	-1.8954e+00	6.3571e-04	1.1118e-06	1.8821e-08	2.8693e-12	
4.7170e+00	-1.8552e+00	7.6648e-04	2.0353e-06	2.7492e-08	5.5855e-12	
4.7170e+00	-1.8150e+00	9.2461e-04	1.4352e-06	4.0161e-08	5.7246e-12	
4.7170e+00	-1.7748e+00	1.1149e-03	4.2482e-06	5.8663e-08	9.2070e-12	
4.7170e+00	-1.7346e+00	1.3550e-03	3.8713e-06	8.5712e-08	2.0080e-11	
4.7170e+00	-1.6944e+00	1.6301e-03	5.5623e-06	1.2520e-07	3.6069e-11	
4.7170e+00	-1.6542e+00	1.9686e-03	1.1028e-05	1.8286e-07	5.5887e-11	
4.7170e+00	-1.6140e+00	2.3835e-03	7.2811e-06	2.6709e-07	5.6038e-11	
4.7170e+00	-1.5738e+00	2.8807e-03	5.5059e-06	3.9004e-07	6.9014e-11	
4.7170e+00	-1.5336e+00	3.4873e-03	2.0094e-05	5.6969e-07	1.0544e-10	
4.7170e+00	-1.4934e+00	4.1946e-03	1.4020e-05	8.3161e-07	1.5810e-10	
4.7170e+00	-1.4532e+00	5.0501e-03	1.8835e-05	1.2138e-06	4.4826e-10	
4.7170e+00	-1.4130e+00	1.7055e-02	5.5960e-05	3.5859e-05	5.7285e-07	
4.7170e+00	-1.3728e+00	7.3709e-03	2.2431e-05	2.5846e-06	5.3158e-10	
4.7170e+00	-1.3326e+00	8.9945e-03	4.0458e-05	3.7732e-06	7.7372e-10	
4.7170e+00	-1.2924e+00	1.0683e-02	5.8963e-05	5.4975e-06	1.2955e-09	
4.7170e+00	-1.2522e+00	1.3031e-02	6.4059e-05	8.0162e-06	1.4543e-09	
4.7170e+00	-1.2120e+00	3.1137e-02	4.4319e-05	9.6926e-05	1.6827e-06	
4.7170e+00	-1.1718e+00	1.8878e-02	7.6536e-05	1.7005e-05	2.7726e-09	
4.7170e+00	-1.1316e+00	2.2687e-02	6.5531e-05	2.5001e-05	6.5101e-09	
4.7170e+00	-1.0914e+00	2.7210e-02	5.8921e-05	3.5963e-05	5.2957e-09	
4.7170e+00	-1.0512e+00	3.2805e-02	2.3246e-04	5.2214e-05	5.3950e-09	
4.7170e+00	-1.0110e+00	3.9660e-02	2.3606e-04	7.5748e-05	8.1800e-09	
4.7170e+00	-9.7080e-01	4.7383e-02	1.5548e-04	1.0973e-04	4.7527e-08	
4.7170e+00	-9.3060e-01	7.0761e-02	2.7017e-04	3.8399e-04	1.9590e-05	
4.7170e+00	-8.9040e-01	8.1832e-02	2.4296e-04	4.7689e-04	7.1413e-06	
4.7170e+00	-8.5020e-01	8.1045e-02	1.8196e-04	3.2921e-04	4.2901e-08	
4.7170e+00	-8.1000e-01	9.6081e-02	3.1750e-04	4.7241e-04	1.0836e-07	
4.7170e+00	-7.6980e-01	1.1436e-01	2.3677e-04	6.7537e-04	1.2990e-07	
4.7170e+00	-7.2960e-01	1.3530e-01	3.8495e-04	9.6195e-04	4.0699e-07	
4.7170e+00	-6.8940e-01	1.5864e-01	4.8971e-04	1.3652e-03	5.8004e-07	
4.7170e+00	-6.4920e-01	1.9935e-01	1.1670e-04	2.5501e-03	2.0416e-05	
4.7170e+00	-6.0900e-01	2.1858e-01	5.5825e-04	2.6975e-03	1.5159e-06	
4.7170e+00	-5.6880e-01	2.5316e-01	6.5864e-04	3.7604e-03	2.8558e-06	
4.7170e+00	-5.2860e-01	2.9185e-01	5.4326e-04	5.2027e-03	3.9754e-06	
4.7170e+00	-4.8840e-01	3.3408e-01	9.4468e-04	7.1448e-03	9.7811e-06	
4.7170e+00	-4.4820e-01	3.8181e-01	5.6238e-04	9.6974e-03	9.0529e-06	
4.7170e+00	-4.0800e-01	4.3483e-01	7.8283e-04	1.4414e-02	3.1761e-05	
4.7170e+00	-3.6780e-01	4.8385e-01	5.5399e-04	1.7429e-02	1.8535e-05	
4.7170e+00	-3.2760e-01	5.3772e-01	3.4360e-04	2.3047e-02	1.7479e-05	
4.7170e+00	-2.8740e-01	5.9397e-01	5.0291e-04	3.0104e-02	3.6929e-05	
4.7170e+00	-2.4720e-01	6.5043e-01	3.2146e-04	3.8980e-02	3.5799e-05	
4.7170e+00	-2.0700e-01	7.0819e-01	6.1652e-04	4.9812e-02	1.0616e-04	
