"tempβ"	"μ"	"density"	"err"	"doublon"	"err"	"int_energy"	"err"	"kinetic_energy"	"err"	"total_energy"	"err"
5.	-4.50001	4.060267e-9	8.7149693e-11	2.7310239e-19	3.1914042999999997e-21	2.3406841000000004e-19	2.7352631999999996e-21	1.6025023999999997e-8	3.4895111000000005e-10	1.6025023999999997e-8	3.4895111000000005e-10
5.	-4.41981	6.0632667e-9	1.3014210000000003e-10	6.0901734e-19	7.1168184e-21	5.2197171e-19	6.0996258e-21	2.344417e-8	5.1065717e-10	2.344417e-8	5.1065717e-10
5.	-4.33961	9.0543803e-9	1.9434335e-10	1.3581065000000002e-18	1.5870476e-20	1.163995e-18	1.3602141e-20	3.4283420999999995e-8	7.4698647e-10	3.4283420999999995e-8	7.4698647e-10
5.	-4.259410000000001	1.3521063e-8	2.9021493e-10	3.0285775e-18	3.5388475e-20	2.5957090000000002e-18	3.0330471e-20	5.011163899999999e-8	1.0922077e-9	5.011163899999999e-8	1.0922077e-9
5.	-4.179210000000001	2.0191232e-8	4.3338417e-10	6.7537054000000005e-18	7.8921922e-20	5.7884118e-18	6.764177e-20	7.3213218e-8	1.5962594e-9	7.3213218e-8	1.5962594e-9
5.	-4.099010000000002	3.0151909999999995e-8	6.47179e-10	1.5060736999999998e-17	1.7599536000000001e-19	1.2908136000000001e-17	1.508407e-19	1.0691236e-7	2.3318141e-9	1.0691236e-7	2.3318141e-9
5.	-4.018810000000002	4.5026355999999997e-8	9.6644119e-10	3.3585386e-17	3.9246824000000004e-19	2.8785094e-17	3.3637354000000006e-19	1.5604292e-7	3.4046211e-9	1.5604292e-7	3.4046211e-9
5.	-3.938610000000002	6.723860699999999e-8	1.443198e-9	7.489527299999999e-17	8.7520013e-19	6.4190641e-17	7.501095300000001e-19	2.2762894999999998e-7	4.9684163e-9	2.2762894999999998e-7	4.9684163e-9
5.	-3.858410000000002	1.0040851e-7	2.1551406000000003e-9	1.6701613000000003e-16	1.9516844e-18	1.4314485e-16	1.672734e-18	3.3186926999999997e-7	7.2465389000000006e-9	3.3186926999999997e-7	7.2465389000000006e-9
5.	-3.778210000000002	1.4994163e-7	3.2182822e-9	3.7244517e-16	4.3522198e-18	3.1921233e-16	3.7301657e-18	4.835603399999999e-7	1.0563187e-8	4.835603399999999e-7	1.0563187e-8
5.	-3.698010000000002	2.2391011999999998e-7	4.8058573e-9	8.305507300000001e-16	9.7053366e-18	7.118417700000001e-16	8.318172200000002e-18	7.0415042e-7	1.5388565e-8	7.0415042e-7	1.5388565e-8
5.	-3.6178100000000017	3.3436818e-7	7.176538e-9	1.8521229e-15	2.1642539999999998e-17	1.5874026999999998e-15	1.8549215e-17	1.0247015e-6	2.2404029e-8	1.0247015e-6	2.2404029e-8
5.	-3.5376100000000017	4.9931678e-7	1.0716665e-8	4.1302327999999996e-15	4.8261035e-17	3.5399068e-15	4.1363182e-17	1.4901561000000001e-6	3.2596234e-8	1.4901561000000001e-6	3.2596234e-8
5.	-3.4574100000000016	7.4563426e-7	1.6002561e-8	9.210350000000001e-15	1.0761980000000001e-16	7.8939331e-15	9.2237914e-17	2.1654636e-6	4.7390674e-8	2.1654636e-6	4.7390674e-8
5.	-3.3772100000000016	1.1134610000000002e-6	2.3895440999999998e-8	2.0538963e-14	2.3997971e-16	1.7603369999999998e-14	2.0567989000000002e-16	3.1444025e-6	6.8848559e-8	3.1444025e-6	6.8848559e-8
5.	-3.2970100000000016	1.6642012000000002e-6	3.6124737e-8	4.5744615e-14	5.322420700000001e-16	3.9206429e-14	4.5616978e-16	4.566357200000001e-6	1.0119793e-7	4.566357200000001e-6	1.0119793e-7
5.	-3.2168100000000015	2.4837192000000002e-6	5.4326087999999995e-8	1.0197006e-13	1.2017661000000001e-15	8.7395679e-14	1.0300001e-15	6.615772300000001e-6	1.4787338e-7	6.615772300000001e-6	1.4787338e-7
5.	-3.1366100000000015	3.7088933000000004e-6	8.1109018e-8	2.273897e-13	2.679481e-15	1.9488935e-13	2.2965081000000003e-15	9.581756500000001e-6	2.1427027e-7	9.581756500000001e-6	2.1427027e-7
5.	-3.0564100000000014	5.5384786e-6	1.1714442999999999e-7	5.066477099999999e-13	5.6843655000000005e-15	4.3423357e-13	4.8719105e-15	0.000013864604	3.001333e-7	0.000013864604	3.001333e-7
5.	-2.9762100000000014	8.2643125e-6	1.7214633e-7	1.1291277e-12	1.2090776000000001e-14	9.6774374e-13	1.0362665000000001e-14	0.000020025386	4.2708797999999997e-7	0.000020025386	4.2708797999999997e-7
5.	-2.8960100000000013	0.000012364020000000002	2.3569269e-7	2.5182325999999997e-12	2.3947757e-14	2.1583067e-12	2.0524952e-14	0.000028969803	5.6605887e-7	0.000028969803	5.6605887e-7
